DWA ID,DWA Title,FSHC_Rating
4.A.1.a.2.I11.D03,Monitor operations to ensure compliance with safety or security policies or regulations.,2
4.A.1.a.2.I11.D04,Monitor organizational compliance with regulations.,3
4.A.1.a.2.I11.D05,Verify that medical activities or operations meet standards.,2
4.A.1.a.2.I11.D06,Monitor processes for compliance with standards.,2
4.A.1.a.2.I11.D07,Evaluate personnel practices to ensure adherence to regulations.,2
4.A.1.a.2.I11.D08,Monitor operational activities to ensure compliance with regulations or standard operating procedures.,2
4.A.1.a.2.I11.D09,Evaluate construction projects to determine compliance with external standards or regulations.,1
4.A.1.a.2.I11.D10,Determine operational compliance with regulations or standards.,2
4.A.1.a.2.I11.D11,Monitor medical facility activities to ensure adherence to standards or regulations.,2
4.A.1.b.1.I01.D01,Apply identification labels or tags.,1
4.A.1.b.1.I01.D02,Mark agricultural or forestry products for identification.,2
4.A.1.b.1.I01.D03,Mark materials or objects for identification.,2
4.A.1.b.1.I01.D04,"Mark products, workpieces, or equipment with identifying information.",2
4.A.1.b.1.I01.D05,Label production materials.,2
4.A.1.b.1.I01.D06,"Attach identification information to products, items or containers.",1
4.A.1.b.1.I02.D01,Identify opportunities for green initiatives.,2
4.A.1.b.1.I02.D02,Identify potential customers.,2
4.A.1.b.1.I02.D03,Identify investment opportunities or strategies.,2
4.A.1.b.1.I02.D04,Identify strategic business investment opportunities.,3
4.A.1.b.1.I02.D05,Identify new applications for existing technologies.,3
4.A.1.b.1.I02.D06,Identify opportunities to improve operational efficiency.,3
4.A.1.b.1.I02.D07,Identify sustainable business practices.,2
4.A.1.b.1.I02.D08,Identify job or employment opportunities.,1
4.A.1.b.2.I01.D01,Test patient heart or lung functioning.,2
4.A.1.b.2.I01.D02,Administer screening tests to determine abilities or treatment needs.,2
4.A.1.b.2.I01.D03,Test patient hearing.,2
4.A.1.b.2.I01.D04,Test patient vision.,2
4.A.1.b.2.I01.D05,Conduct diagnostic tests to determine patient health.,2
4.A.1.b.2.I01.D06,Administer drug screening tests.,2
4.A.1.b.2.I01.D07,Test patient nervous system functioning.,2
4.A.1.b.2.I01.D08,Test biological specimens to gather information about patient conditions.,2
4.A.1.b.2.I02.D01,Test green technologies or processes.,2
4.A.1.b.2.I02.D02,Test green technology installations to verify performance.,3
4.A.1.b.2.I03.D01,"Test materials, solutions, or samples.",2
4.A.1.b.2.I03.D02,Test products for functionality or quality.,2
4.A.1.b.2.I03.D03,Analyze test results.,2
4.A.1.b.2.I03.D04,Test characteristics of materials or structures.,2
4.A.1.b.2.I03.D05,Test chemical or physical characteristics of materials or products.,2
4.A.1.b.2.I03.D06,Test fluids to identify contamination or other problems.,2
4.A.1.b.2.I03.D07,Test quality of materials or finished products.,2
4.A.1.b.2.I04.D01,Inspect motor vehicles.,2
4.A.1.b.2.I04.D02,Inspect mechanical components of vehicles to identify problems.,2
4.A.1.b.2.I04.D03,Inspect vehicles to determine overall condition.,2
4.A.1.b.2.I04.D04,Inspect locomotives or other railroad equipment.,2
4.A.1.b.2.I04.D05,Inspect aircraft or aircraft components.,2
4.A.1.b.2.I04.D06,Inspect structural components of vehicles to identify problems.,2
4.A.1.b.2.I05.D01,Inspect work sites to determine condition or necessary repairs.,2
4.A.1.b.2.I05.D02,Inspect work sites to identify potential environmental or safety hazards.,2
4.A.1.b.2.I05.D03,"Inspect facilities, equipment or supplies to ensure conformance to standards.",2
4.A.1.b.2.I05.D04,Inspect cargo areas for cleanliness or condition.,2
4.A.1.b.2.I05.D05,Inspect work environments to ensure safety.,2
4.A.1.b.2.I05.D06,Monitor cargo area conditions.,2
4.A.1.b.2.I05.D07,Inspect facilities.,2
4.A.1.b.2.I05.D08,Inspect facilities or equipment to ensure specifications are met.,2
4.A.1.b.2.I05.D09,Inspect areas for compliance with sanitation standards.,2
4.A.1.b.2.I05.D10,Inspect facilities to ensure compliance with fire regulations.,2
4.A.1.b.2.I05.D11,"Inspect facilities to ensure compliance with safety, quality, or service standards.",2
4.A.1.b.2.I05.D12,Inspect facilities or sites to determine if they meet specifications or standards.,2
4.A.1.b.2.I05.D13,Inspect facilities to ensure compliance with security or safety regulations.,2
4.A.1.b.2.I05.D14,Inspect facilities for cleanliness.,2
4.A.1.b.2.I05.D15,Inspect condition or functioning of facilities or equipment.,2
4.A.1.b.2.I05.D16,Inspect buildings or grounds to determine condition.,2
4.A.1.b.2.I06.D01,Verify alignment of structures or equipment.,2
4.A.1.b.2.I06.D02,Inspect timing devices.,2
4.A.1.b.2.I06.D03,Inspect finishes of workpieces or finished products.,2
4.A.1.b.2.I06.D04,Count finished products or workpieces.,1
4.A.1.b.2.I06.D05,"Inspect metal, plastic, or composite products.",2
4.A.1.b.2.I06.D06,Inspect work to ensure standards are met.,2
4.A.1.b.2.I06.D07,Inspect textile products.,2
4.A.1.b.2.I06.D08,Inspect finished products to locate flaws.,2
4.A.1.b.2.I06.D09,Evaluate projects to determine compliance with technical specifications.,2
4.A.1.b.2.I06.D10,Inspect medical or dental assistive devices.,2
4.A.1.b.2.I06.D11,Inspect items for damage or defects.,2
4.A.1.b.2.I06.D12,Check quality of foods or supplies.,2
4.A.1.b.2.I06.D13,Inspect food products.,2
4.A.1.b.2.I06.D14,Inspect sets or exhibits.,2
4.A.1.b.2.I06.D15,Inspect completed work to ensure proper functioning.,2
4.A.1.b.2.I06.D16,Inspected printed materials or other images to verify quality.,2
4.A.1.b.2.I06.D17,Inspect completed work to ensure proper installation.,2
4.A.1.b.2.I06.D18,Inspect installed components or assemblies.,2
4.A.1.b.2.I07.D01,Inspect equipment or tools to be used in construction or excavation.,2
4.A.1.b.2.I07.D02,Inspect safety equipment to ensure proper functioning.,2
4.A.1.b.2.I07.D03,Inspect systems to determine if they are operating properly.,2
4.A.1.b.2.I07.D04,Inspect equipment or facilities to determine condition or maintenance needs.,2
4.A.1.b.2.I07.D05,Inspect telecommunications equipment to identify problems.,2
4.A.1.b.2.I07.D06,Inspect equipment to locate or identify electrical problems.,2
4.A.1.b.2.I07.D07,Inspect material-moving equipment to detect problems.,2
4.A.1.b.2.I07.D08,Inspect electrical or electronic systems for defects.,2
4.A.1.b.2.I07.D09,Conduct validation tests of equipment or processes.,3
4.A.1.b.2.I07.D10,Inspect gas systems or components to identify leaks or other potential hazards.,2
4.A.1.b.2.I07.D11,Inspect equipment or systems.,2
4.A.1.b.2.I07.D12,Inspect plumbing systems or fixtures.,2
4.A.1.b.2.I07.D13,Locate equipment or materials in need of repair or replacement.,2
4.A.1.b.2.I07.D14,Inspect equipment to ensure safety or proper functioning.,2
4.A.1.b.2.I07.D15,Inspect production equipment.,2
4.A.1.b.2.I07.D16,Inspect industrial or commercial equipment to ensure proper operation.,2
4.A.1.b.2.I07.D17,Inspect sustainable energy production facilities or equipment.,2
4.A.1.b.2.I07.D18,Inspect equipment to ensure proper functioning.,2
4.A.1.b.2.I07.D19,Inspect communications or broadcasting equipment.,2
4.A.1.b.2.I07.D20,"Inspect mechanical equipment to locate damage, defects, or wear.",2
4.A.1.b.2.I07.D21,Examine medical instruments or equipment to ensure proper operation.,2
4.A.1.b.2.I08.D01,Test computer hardware performance.,2
4.A.1.b.2.I08.D02,Test computer system operations to ensure proper functioning.,2
4.A.1.b.2.I08.D03,Test software performance.,2
4.A.1.b.2.I09.D01,Check physical condition of people or animals.,2
4.A.1.b.2.I09.D02,"Examine animals to detect illness, injury or other problems.",2
4.A.1.b.2.I09.D03,Examine patients to assess general physical condition.,1
4.A.1.b.2.I09.D04,"Examine mouth, teeth, gums, or related facial structures.",1
4.A.1.b.2.I09.D05,Measure the physical or physiological attributes of patients.,1
4.A.1.b.2.I10.D01,Compare physical characteristics of materials or products to specifications or standards.,2
4.A.1.b.2.I10.D02,Inspect lumber or raw woodstock.,2
4.A.1.b.2.I10.D03,Inspect shipments to ensure correct order fulfillment.,2
4.A.1.b.2.I10.D04,"Inspect garments for defects, damage, or stains.",2
4.A.1.b.2.I10.D05,Inspect cargo to identify potential hazards.,2
4.A.1.b.2.I10.D06,Evaluate characteristics of archival or historical objects.,2
4.A.1.b.2.I10.D07,Examine condition of property or products.,2
4.A.1.b.2.I10.D08,Inspect materials or equipment to determine need for repair or replacement.,2
4.A.1.b.2.I10.D09,Examine physical characteristics of gemstones or precious metals.,2
4.A.1.b.2.I10.D10,Examine physical characteristics of natural stone or stone products.,2
4.A.1.b.2.I11.D01,Test air quality at work sites.,2
4.A.1.b.2.I11.D02,Test facilities for environmental hazards.,2
4.A.1.b.2.I12.D01,Test communications equipment to ensure proper functioning.,2
4.A.1.b.2.I12.D02,"Test performance of electrical, electronic, mechanical, or integrated systems or equipment.",2
4.A.1.b.2.I12.D03,Test electrical equipment or systems to ensure proper functioning.,2
4.A.1.b.2.I12.D04,Test performance of aircraft equipment.,2
4.A.1.b.2.I12.D05,Test mechanical equipment to ensure proper functioning.,2
4.A.1.b.2.I12.D06,Measure equipment outputs.,2
4.A.1.b.2.I12.D07,Test mechanical systems to ensure proper functioning.,2
4.A.1.b.2.I12.D08,Conduct test runs of production equipment.,3
4.A.1.b.2.I12.D09,Test electrical circuits or components for proper functioning.,2
4.A.1.b.3.I01.D01,"Measure materials to mark reference points, cutting lines, or other indicators.",2
4.A.1.b.3.I01.D02,"Calculate dimensions of workpieces, products, or equipment.",2
4.A.1.b.3.I01.D03,Measure physical or chemical properties of materials or objects.,2
4.A.1.b.3.I01.D04,Measure product or material dimensions.,1
4.A.1.b.3.I01.D05,Measure radiation levels.,2
4.A.1.b.3.I01.D06,Measure distances or dimensions.,1
4.A.1.b.3.I01.D07,Measure physical characteristics of forestry or agricultural products.,2
4.A.1.b.3.I01.D08,"Calculate weights, volumes or other characteristics of materials.",2
4.A.1.b.3.I01.D09,Measure ingredients.,1
4.A.1.b.3.I01.D10,Measure ingredients or substances to be used in production processes.,2
4.A.1.b.3.I01.D11,Weigh finished products.,1
4.A.1.b.3.I01.D12,Measure dimensions of completed products or workpieces to verify conformance to specifications.,2
4.A.1.b.3.I01.D13,Weigh parcels to determine shipping costs.,1
4.A.1.b.3.I01.D14,Weigh materials to ensure compliance with specifications.,2
4.A.1.b.3.I01.D15,Measure stock or liquid levels in sustainable fuel production systems.,3
4.A.1.b.3.I01.D16,Measure materials or objects for installation or assembly.,2
4.A.1.b.3.I01.D17,Measure the level or depth of water or other liquids.,1
4.A.1.b.3.I02.D01,Estimate time or monetary resources needed to complete projects.,2
4.A.1.b.3.I02.D02,Estimate construction project costs.,2
4.A.1.b.3.I02.D03,Estimate maintenance service requirements or costs.,3
4.A.1.b.3.I02.D04,Estimate operational costs.,3
4.A.1.b.3.I02.D05,Estimate green project costs.,2
4.A.1.b.3.I02.D06,Estimate costs for projects or productions.,2
4.A.1.b.3.I02.D07,Estimate costs for labor or materials.,2
4.A.1.b.3.I03.D01,Calculate financial data.,2
4.A.1.b.3.I03.D02,Compute gaming wins and losses.,2
4.A.1.b.3.I03.D03,Calculate tax information.,2
4.A.1.b.3.I03.D04,Compute debt repayment schedules.,2
4.A.1.b.3.I04.D01,Survey land or properties.,2
4.A.1.b.3.I04.D02,Measure work site dimensions.,2
4.A.1.b.3.I04.D03,Calculate geographic positions from survey data.,2
4.A.1.b.3.I04.D04,Survey land or bodies of water to measure or determine features.,2
4.A.1.b.3.I04.D05,Assess locations for potential green technology installations.,2
4.A.1.b.3.I05.D01,Measure clients to ensure proper product fit.,2
4.A.2.a.1.I01.D01,Evaluate potential problems in home or work environments of clients.,2
4.A.2.a.1.I01.D02,"Assess patient work, living, or social environments.",2
4.A.2.a.1.I01.D03,Evaluate characteristics of individuals to determine needs or eligibility.,2
4.A.2.a.1.I01.D04,Assess individual or community needs for educational or social services.,2
4.A.2.a.1.I02.D01,Evaluate program effectiveness.,2
4.A.2.a.1.I02.D02,Evaluate the effectiveness of counseling or educational programs.,2
4.A.2.a.1.I02.D03,Measure effectiveness of business strategies or practices.,3
4.A.2.a.1.I02.D04,Evaluate effectiveness of personnel policies or practices.,3
4.A.2.a.1.I02.D05,Evaluate effectiveness of educational programs.,2
4.A.2.a.1.I02.D06,"Evaluate training programs, instructors, or materials.",2
4.A.2.a.1.I02.D07,Evaluate civic projects or public policies.,2
4.A.2.a.1.I03.D01,Assess educational needs of students.,2
4.A.2.a.1.I03.D02,Administer tests to assess educational needs or progress.,2
4.A.2.a.1.I03.D03,Prepare tests.,2
4.A.2.a.1.I03.D04,Evaluate student work.,2
4.A.2.a.1.I04.D01,Evaluate performance of educational staff.,3
4.A.2.a.1.I04.D02,Evaluate current or prospective maintenance employees.,2
4.A.2.a.1.I04.D03,Evaluate skills of athletes or performers.,2
4.A.2.a.1.I04.D04,Evaluate employee performance.,2
4.A.2.a.1.I04.D05,Evaluate capabilities or training needs.,2
4.A.2.a.1.I04.D06,"Evaluate performance of applicants, trainees, or employees.",2
4.A.2.a.1.I05.D01,Evaluate log quality.,2
4.A.2.a.1.I05.D02,Evaluate quality of plants or crops.,2
4.A.2.a.1.I05.D03,Evaluate quality of materials or products.,2
4.A.2.a.1.I05.D04,Evaluate quality of food ingredients or prepared foods.,2
4.A.2.a.1.I06.D01,Assess physical conditions of patients to aid in diagnosis or treatment.,1
4.A.2.a.1.I06.D02,"Evaluate patient functioning, capabilities, or health.",2
4.A.2.a.1.I06.D03,Evaluate patient outcomes to determine effectiveness of treatments.,2
4.A.2.a.1.I06.D04,Evaluate treatment options to guide medical decisions.,2
4.A.2.a.1.I06.D05,Assess skin or hair conditions.,2
4.A.2.a.1.I07.D01,"Assess the cost effectiveness of products, projects, or services.",2
4.A.2.a.1.I07.D02,Evaluate new technologies or methods.,2
4.A.2.a.1.I07.D03,"Evaluate potential of products, technologies, or resources.",3
4.A.2.a.1.I07.D04,Evaluate the characteristics of green technologies.,2
4.A.2.a.1.I07.D05,Assess product or process usefulness.,2
4.A.2.a.1.I07.D06,Assess database performance.,3
4.A.2.a.1.I07.D07,Evaluate characteristics of equipment or systems.,2
4.A.2.a.1.I07.D08,Evaluate utility of software or hardware technologies.,2
4.A.2.a.1.I07.D09,Evaluate characteristics of products.,2
4.A.2.a.1.I08.D01,Evaluate scholarly materials.,2
4.A.2.a.1.I09.D01,Evaluate condition of properties.,2
4.A.2.a.1.I09.D02,Assess financial status of clients.,2
4.A.2.a.1.I09.D03,Appraise property values.,2
4.A.2.a.1.I10.D01,Evaluate project designs to determine adequacy or feasibility.,3
4.A.2.a.1.I10.D02,Analyze data to determine project feasibility.,2
4.A.2.a.2.I01.D01,Verify accuracy of records.,2
4.A.2.a.2.I01.D02,Verify information or specifications.,2
